wallet,score,wins,losses,samples,winrate,wlb,seen,last_seen_ts,last_seen_utc,blue_txs,beluga_txs,whale_score
8sfGAYJB1wNFPh5NdrBjFxAzwcnJX6EeuJQkSBWBkz97,-10,3,7,10,0.3,0.10778928748621182,19,1767538627,2026-01-04T14:57:07,0,0,0.0
85Kub59DRmxTrzoB6ZtJAPprDaSw6Pz6VGqc8yog7djw,-10,3,7,10,0.3,0.10778928748621182,17,1767544562,2026-01-04T16:36:02,0,0,0.0
HCXWSSuHhwPMtz5aPSriXF9T6j8wRVn7or9XeDLfPDfB,-10,3,7,10,0.3,0.10778928748621182,13,1767531657,2026-01-04T13:00:57,0,0,0.0
GwxX92Z9RaeD2Z9E6VWQqM6MEZFZW7Yh3PPbdtBwHR7y,-10,3,7,10,0.3,0.10778928748621182,13,1767508894,2026-01-04T06:41:34,0,0,0.0
8i7yKmWLhrNLcDM12h4rkBRrF9ZKBSX7FizqV2GBixsC,-10,3,7,10,0.3,0.10778928748621182,10,1767508382,2026-01-04T06:33:02,0,0,0.0
dangernGcb8e7UpDrW5mf46rSrswduNnBPXTFECxTCd,-10,3,7,10,0.3,0.10778928748621182,18,1767562285,2026-01-04T21:31:25,0,0,0.0
5MLpmuDjCfxafCL58zcwd4nAAc48qxB1FerTAhgXUVd4,-10,3,7,10,0.3,0.10778928748621182,11,1767505885,2026-01-04T05:51:25,0,0,0.0
GVnjkdN6jMNChWL33RJiVNo6GcyYTbsVo1sjd6LzJZ3H,-10,3,7,10,0.3,0.10778928748621182,17,1767537783,2026-01-04T14:43:03,0,0,0.0
7xQmnpqowPHNavzxTUwbihhwiThXVpFgScJB9qbwJi2o,-10,3,7,10,0.3,0.10778928748621182,57,1767563331,2026-01-04T21:48:51,0,0,0.0
9GYAi3kNwSxnpCyL84HRr1MEAvCVzHs3yZBmxoK9XkU2,-10,3,7,10,0.3,0.10778928748621182,12,1767507479,2026-01-04T06:17:59,0,0,0.0
8uJ8mimwTFjy8Cm37sfvivqbfDnMbbJnhEp476QtU567,-10,3,7,10,0.3,0.10778928748621182,34,1767562710,2026-01-04T21:38:30,0,0,0.0
HKAQneUeZYGWHRmq86cFU7vJrLrqxjXJQyoXrHF9E3Xr,-10,3,7,10,0.3,0.10778928748621182,13,1767508798,2026-01-04T06:39:58,0,0,0.0
8888usmka5ocu8VfDsA4CYC5eULrAz51nRUoekVekzik,-10,3,7,10,0.3,0.10778928748621182,13,1767541686,2026-01-04T15:48:06,0,0,0.0
5hnYWneGmRaJW1iM2Kex5Z56XNRqxbMj5NfxtufRff6b,-10,3,7,10,0.3,0.10778928748621182,11,1767507986,2026-01-04T06:26:26,0,0,0.0
9ZBLjn94JGgZ2nMSmRo5XfNg5bUpdRCPiq7dLdhxx9uV,-10,3,7,10,0.3,0.10778928748621182,19,1767544682,2026-01-04T16:38:02,0,0,0.0
66FrSqh5txAeX54N3GefmEaNVpSju1cz1XZdEekbbFPd,-10,3,7,10,0.3,0.10778928748621182,13,1767541666,2026-01-04T15:47:46,0,0,0.0
12665qtP2MfNuq1oJ9P1BUBWYu6ZrYhrJHDzfsM9gcmk,-10,3,7,10,0.3,0.10778928748621182,11,1767507986,2026-01-04T06:26:26,0,0,0.0
B7dDZhuXBoBeKYkJQ9ww9EdB6mFKmbDbvosi4YXYAjin,-10,3,7,10,0.3,0.10778928748621182,18,1767562244,2026-01-04T21:30:44,0,0,0.0
42gWdFvfTDG1MuQtAWD7dRLpFxxePZ9HX8sPyhYrk8VQ,-10,3,7,10,0.3,0.10778928748621182,59,1767563331,2026-01-04T21:48:51,0,0,0.0
ceMpXj1csfyEFhLtn8XCik1AKGtGeTEMKxfqVmc9axq,-10,3,7,10,0.3,0.10778928748621182,17,1767544871,2026-01-04T16:41:11,0,0,0.0
